window,stage,required_actions,decision_gate,output,official_fact_to_reverify,owner_status,last_verified
"2026 Jul-Dec","Foundation","Protect GPA; collect syllabi/transcripts/MOI; build quant foundation; deepen one measured Track A project","Continue only with evidence not certificate volume","Academic and impact evidence folder","Degree equivalence and program prerequisite language","Deepan - planned","2026-07-12"
"2027 Jan-Mar","Exploration","Use official program pages to compare 30-40 possibilities; run free GRE diagnostic; begin country funding discussions","Choose whether a test strengthens likely applications","Longlist and diagnostic report","Current test policies and score validity","Deepan - planned","2026-07-12"
"2027 Apr-Jun","Strategy lock 1","Reduce to 3-4 countries and 15-20 programs; choose GRE or GMAT; identify two recommenders","One admissions test maximum","Country/test decision memo","Official admissions requirements and scholarship opening cycles","Deepan - planned","2026-07-12"
"2027 Jul-Oct","Score and experience","Complete substantial internship/client/research work; take chosen admissions test if useful","Retake only if practice evidence predicts material improvement","Official score plus measured work outcome","Current retake policy and reporting time","Deepan - planned","2026-07-12"
"2027 Nov-Dec","Funding gate 1","Set self-funding and loan ceilings; classify programs affordable conditional unaffordable","Remove programs that cannot pass conservative debt test","Written funding ceiling","Current tuition cost-of-attendance loan terms and exchange rates","Deepan/family - planned","2026-07-12"
"2028 Jan-Mar","Eligibility audit","Check final 10-12 programs for 3-year degree acceptance module credits final transcript timing English policy and scholarship dependencies","No application where published prerequisites are unmet or ambiguous without official clarification already available","Final four-band shortlist","2028/29 official program pages; deadlines must be taken only from live intake page","Deepan - planned","2026-07-12"
"2028 Apr-Jun","English and evidence","Take IELTS Academic; request official documents; prepare factual CV story bank and recommender packets","Retake only weak sections/whole test under accepted policy and before deadline buffer","Valid English score and source-backed application materials","Program-specific score minimum and waiver; IELTS acceptance period","Deepan - planned","2026-07-12"
"2028 Jul-Aug","Application readiness","Open applications only when correct intake is live; draft tailored essays; secure recommendations 6-8 weeks early","Apply only if graduation date permits enrolment and full funding route exists","Submission calendar with exact official URLs","Exact deadline time zone application fee document rules AI-use policy","Deepan - planned","2026-07-12"
"2028 Sep-Dec","Early submissions","Submit scholarship-sensitive and capped/rolling programs early when ready; submit government scholarship applications separately","Quality threshold beats rushing; never reuse old-cycle dates","First balanced batch across Dream Strong Realistic Safe","Live admission and scholarship deadlines; rolling capacity status","Deepan - planned","2026-07-12"
"2029 Jan-Mar","Later submissions and interviews","Complete remaining verified rounds; prepare structured interview examples; update achievements truthfully","Stop adding schools beyond budget/fit plan","Complete 8-12 application portfolio","Interview format decision dates deposit windows","Deepan - planned","2026-07-12"
"Offer to deposit","Offer comparison","Compare total cost curriculum placement work rights scholarship conditions refund policy housing and India-return option","No deposit until funding plus 10-15% buffer is documented and visa/program eligibility rechecked","Offer decision matrix","Current visa maintenance funds post-study rules refund/defer terms","Deepan/family - future","2026-07-12"
"Deposit to departure","Execution boundary","Accept one offer; complete visa/housing/insurance through official channels; retain India fallback until visa issued","No irreversible travel/loan step before visa and funding completion","Verified enrolment and travel pack","Embassy/immigration and university instructions current on action date","Deepan - future","2026-07-12"
