"pilot_id","industry_id","pilot_name","target_user","problem_hypothesis","minimum_scope","explicit_exclusions","baseline_metric","success_signal","stop_rule","evidence_status","privacy_risk","next_action","last_verified"
"TA-PIL-001","TA-IND-01","Quote-to-job register","Estimator and owner","Specification and cost decisions are re-entered or detached from job execution","One product family locked specification cost components PDF quote job card proof version and due status","Accounting automatic pricing compliance claims and full ERP","Quote time correction count and status calls","Lower correction or lookup effort across five live jobs","Stop if duplicate entry exceeds current work or role ownership is unclear","Hypothesis only","Low if all jobs are synthetic or anonymized","Validate with owner estimator and floor user","2026-07-12"
"TA-PIL-002","TA-IND-01","Proof and stage exception list","Prepress production and dispatch","Wrong version and hidden stage aging cause preventable rework or delay","Approved-version reference five production states blocker owner and aging","Artwork storage customer portal and machine integration","Approval confusion rework and overdue-stage count","One prevented version error or earlier blocker action","Stop if approved source cannot be reliably identified","Hypothesis only","Medium if artwork is stored; avoid storage in first test","Use dummy file references in prototype","2026-07-12"
"TA-PIL-003","TA-IND-02","Exception and POD register","Dispatcher driver and billing","Unstructured exceptions and missing proof increase calls and billing lag","Manifest import five statuses reason codes POD reference aging and billing-ready flag","Route optimization continuous tracking surveillance and automated messaging","Where-is-it calls failed attempts and POD-to-invoice days","Reduced status calls or proof aging on one route","Stop if driver update is unsafe or billing rejects evidence","Hypothesis only","Medium due to location and recipient data","Prototype with synthetic routes and minimal fields","2026-07-12"
"TA-PIL-004","TA-IND-02","Failed-delivery worklist","Dispatcher and customer desk","Failed attempts are not converted into clear next actions","Reason code custodian next action due time and closure outcome","Customer profiling automatic retry and route scoring","Open failed attempts and repeat attempts","Faster closure and fewer repeated unclear reasons","Stop if reason taxonomy is not used consistently","Hypothesis only","Medium; anonymize addresses and contacts","Reconstruct three failures first","2026-07-12"
"TA-PIL-005","TA-IND-03","Style readiness board","Merchandiser stores and production supervisor","Approval and material blockers are discovered at line start","Style revision approval BOM material gates planned line date blocker and owner","Worker-level efficiency payroll buyer portal and production ERP","Late line starts and readiness-check time","One blocker found before cutting or line setup","Stop if authoritative approval or material state is unavailable","Hypothesis only","Low at style level with anonymous buyer","Trace one style before design","2026-07-12"
"TA-PIL-006","TA-IND-03","Packing exception view","Packing merchandiser and quality","Size-color shortages emerge too late for shipment decisions","Order ratio packed balance shortage reason owner and release state","Consumer returns worker scoring and shipment documentation automation","Packing shortages and late reconciliation","Earlier shortage decision on two live orders","Stop if bundle or SKU identity is unreliable","Hypothesis only","Low if buyer and order IDs are anonymized","Observe one packing reconciliation","2026-07-12"
"TA-PIL-007","TA-IND-04","Work-order readiness board","Planner stores production and quality","Jobs are released despite missing revision material tool or quality gates","One product family work order revision four readiness gates blocker owner next operation and aging","MRP finite scheduling OEE costing and machine integration","Search time premature releases and hold aging","Ten work orders located and released with less coordination time","Stop if master data cannot identify revision and order reliably","Hypothesis only","Low with anonymous parts and quantities","Select one process and reconstruct three orders","2026-07-12"
"TA-PIL-008","TA-IND-04","Dispatch-readiness worklist","Quality dispatch and accounts","Finished goods wait because inspection documents quantity or billing prerequisites are unclear","Order accepted quantity required documents blocker owner and invoice-ready state","Quality compliance automation and accounting replacement","Dispatch-to-invoice lag and held orders","Earlier resolution of one recurring hold","Stop if legal or quality release is simplified incorrectly","Hypothesis only","Low with anonymous order references","Map release authority before prototype","2026-07-12"
"TA-PIL-009","TA-IND-05","Daily stock exception worklist","Buyer owner and store user","Stockout negative stock and dead stock are hidden inside POS reports","One category below-minimum negative-stock no-sale-aging receiving mismatch and action owner","POS replacement automatic ordering dynamic pricing and customer profiling","Stockout searches discrepancies and no-sale aging","Actions completed and fewer repeated discrepancies over four weeks","Stop if SKU and unit identity fail the twenty-item check","Hypothesis only","Low; no customer data needed","Trace twenty SKUs physically","2026-07-12"
"TA-PIL-010","TA-IND-05","Unfilled-order tracker","Wholesale sales picking and accounts","Partial lines and substitutions become invisible after initial billing","Anonymous customer class order line allocated delivered balance promise and owner","Credit scoring automated outreach and invoice generation","Unfilled-line aging and customer callbacks","Fewer forgotten balances across ten orders","Stop if current order system already provides reliable balance visibility","Hypothesis only","Medium if customer identities are retained; use anonymous IDs","Reconstruct one full one partial and one overdue order","2026-07-12"
