id,opportunity,provider,country_or_scope,funding_category,funding_snapshot,deepan_timing_fit,key_eligibility_or_constraint,application_route,deadline_status,official_url,last_verified,unstable_fact_flag
"1","Knight-Hennessy Scholars","Stanford University","US","Full funding","Up to three years of tuition plus living/academic stipend and annual travel stipend","Possible only with admission to an eligible Stanford graduate program; ultra-competitive","Separate Knight-Hennessy application plus Stanford graduate application; leadership/civic mindset","Direct parallel applications","2028 cycle TBD/verify","https://knight-hennessy.stanford.edu/","2026-07-12","Yes"
"2","Stanford GSB MBA Fellowship","Stanford Graduate School of Business","US","Major","Need-based fellowship; amount depends on demonstrated need","Later MBA/deferred-MBA pathway, not specialist master's funding","Admitted MBA students; need-based financial assessment","Automatic/financial-aid process after admission","Future cycle TBD/verify","https://www.gsb.stanford.edu/experience/learning/financial-aid/mba-fellowships","2026-07-12","Yes"
"3","HBS Need-Based Scholarships","Harvard Business School","US","Major","Need-based awards can cover a significant share of MBA cost","Later MBA or 2+2 pathway only","Admitted MBA students; awards based on financial need, not merit","Financial-aid application after admission","Future cycle TBD/verify","https://www.hbs.edu/mba/financial-aid/tuition-assistance/Pages/default.aspx","2026-07-12","Yes"
"4","MIT Sloan MBAn Fellowships and Capstone Offset","MIT Sloan","US","Major","Limited fellowships; all MBAn students currently receive a USD 22k+ capstone-related tuition offset","Strong timing fit for 2028/29 specialist master's","Admitted MBAn candidates; fellowships are limited and merit-based","Automatic consideration for stated fellowships","2028 cycle TBD/verify","https://mitsloan.mit.edu/master-of-business-analytics/admissions/tuition-and-financial-aid","2026-07-12","Yes"
"5","Fuqua MQM Merit Scholarships","Duke Fuqua","US","Partial","Merit awards vary and do not normally remove full cost risk","Strong timing fit if applying to MQM","Admitted MQM applicants; merit and cohort contribution","Generally admission-based; verify specific awards","2028 cycle TBD/verify","https://www.fuqua.duke.edu/programs/mqm-business-analytics/financing-your-degree","2026-07-12","Yes"
"6","Chevening Scholarship India","UK Government FCDO","UK","Full funding","Fully funded one-year eligible UK master's","Potential after graduation if current eligibility and experience definitions are met","India eligibility; leadership; eligible one-year course; return-home obligation and current work-experience rules must be checked","Separate Chevening application plus course offers by required stage","Applications currently closed; 2028 cycle TBD","https://www.chevening.org/scholarship/india/","2026-07-12","Yes"
"7","Commonwealth Master's Scholarship","Commonwealth Scholarship Commission","UK","Full funding","Approved tuition living travel and allowances under award terms","Possible for eligible development-aligned taught master's; not MBA","India currently eligible; inability to afford; academic threshold; CSC explicitly does not fund MBAs","CSC plus Indian nominating route","2026/27 closed; 2028 TBD/verify","https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/","2026-07-12","Yes"
"8","GREAT Scholarships India","British Council and participating UK universities","UK","Partial","Typical award amount and participating courses vary by year/university","Potential for UK specialist master's","Indian passport/residency plus offer from participating institution/course; individual university rules","Apply through participating university","2027/28 or 2028/29 TBD/verify","https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships/india","2026-07-12","Yes"
"9","LBS Masters in Management Scholarships","London Business School","UK","Partial","Multiple school awards; amount/eligibility varies","Strong for LBS Dream application","Admitted/eligible MiM candidate; award-specific criteria","Many are automatic; some require application; verify each","2028 cycle TBD/verify","https://www.london.edu/masters-degrees/masters-in-management/fees-financing-and-scholarships","2026-07-12","Yes"
"10","Dean's Impact Scholarship","Imperial Business School","UK","Major","GBP 25,000 in current 2026 cycle","Excellent if Track A shows measurable entrepreneurship/technology/social impact","Offer in eligible early admission round; tangible impact and strong overall application","Offer-holders submit required assessment/video per current rules","2028 dates TBD; current amount/rounds unstable","https://www.imperial.ac.uk/business-school/masters/innovation-entrepreneurship-management/fees-and-funding/","2026-07-12","Yes"
