lead_id,observed_signal,hypothesis,discovery_question,proposed_solution,mvp_features,build_time,pilot_price,full_project_price,maintenance,proof,risk
SL001,Custom packaging quote workflow,Quoting and job-stage visibility may require repeated manual updates,How do you move an accepted quote into production today?,Quotation and production tracker,Quote builder; job stages; PDF; status summary,7 days,15000,35000,2500/month,Printing Press ERP,Must confirm current workflow
SL002,Many print product categories,Enquiries may be hard to prioritize and track,How are enquiries assigned and followed until delivery?,Enquiry and order dashboard,Lead list; quote status; job status; follow-up date,6 days,12000,30000,2000/month,Printing Press ERP,Must confirm enquiry volume
SL003,High custom packaging volume,Quote revisions may be difficult to compare,How are packaging quote revisions approved and tracked?,Quote-to-production tracker,Revision history; approval; stage board; PDF,8 days,20000,45000,3000/month,Printing Press ERP,Enterprise expectations may increase scope
SL004,Bulk and print-on-demand work,Scheduling may need shared visibility,How do teams see which jobs are due next?,Production schedule dashboard,Job queue; due dates; owner; delay flag,7 days,18000,40000,2500/month,Printing Press ERP,Contact must be verified
SL005,Wide custom printing catalogue,Estimating may be repeated across product types,Which estimate takes the most time to prepare?,Estimate and job-card tool,Reusable calculator; PDF quote; job card,5 days,10000,25000,1500/month,Calculator and Printing ERP,Must validate rate rules
SL009,Corrugated box manufacturing,Size and material calculations may repeat,How are box dimensions converted into quotes?,Box quotation calculator,Dimensions; material; wastage; margin; PDF,5 days,12000,30000,2000/month,Timber and curtain calculator,Domain formula discovery required
SL011,Large exporter member network,Members may benefit from practical student-built workflow pilots,Which member companies currently ask for digital workflow support?,Member referral pilot,One-page pilot offer; referral tracker; demo,3 days,5000,15000,0,Dashboard and ERP,Association may not buy directly
SL023,Multi-unit apparel park,Units may share production reporting problems,Can you introduce one unit struggling with daily order status reporting?,Apparel order dashboard,Order list; stage; due date; delay; export,7 days,15000,40000,2500/month,Career dashboard and ERP,Need warm introduction
SL024,MSME manufacturing network,Members may repeat quotation and service tasks,Which member firms still prepare quotes or service reports manually?,Quotation/report pilot,Quote form; PDF; follow-up; summary,5 days,10000,25000,1500/month,Rental report and ERP,Association route only
SL031,Incubated startup network,Some founders may need scoped build help,Which startup has a dashboard or automation task suitable for a one-week trial?,Startup trial sprint,One agreed workflow; demo; handoff notes,5 days,5000,20000,0,Career dashboard and GitHub,No current vacancy guaranteed
SL032,Campus technology ecosystem,Resident teams may need flexible student support,Who handles startup and student project introductions?,Flexible project internship,Scoped dashboard or automation task,7 days,5000,20000,0,Portfolio proof,Requires named introduction
SL033,State startup network,Program participants may need MVP support,Which current programme exposes founders seeking technical contributors?,Founder matching request,Trial MVP screen or internal tracker,7 days,8000,25000,0,React dashboard proof,Broad ecosystem not direct buyer
SL038,MSME association network,Members may need stock and quote tools,Can you connect me to one member with a repeated Excel or paper workflow?,MSME workflow pilot,Simple tracker; report; training,7 days,10000,25000,1500/month,ERP and automation,Contact route must be verified
SL043,Technology incubator,Portfolio startups may need intern contributors,Which incubated team needs a small React or Python task?,Incubator trial sprint,One feature; tests; documentation,7 days,5000,20000,0,GitHub project proof,Programme availability changes
SL044,Accelerator programmes,Early teams may need operations dashboards,Which portfolio team has an unowned internal-tool problem?,Founder operations dashboard,Lead/task/status dashboard; export,7 days,10000,30000,2000/month,Career Pipeline Dashboard,Need portfolio company match
SL051,Public inquiry quotation sampling production and delivery stages,Buyer updates may require repeated manual coordination,How do buyers currently receive status updates between sampling and final delivery?,Buyer order and sampling-status dashboard,Order list; sample approval; production milestone; dispatch status; exportable update,7 days,12000-18000,30000-50000,2000/month,Printing Press ERP and Career Pipeline Dashboard,Must confirm order volume and existing software
SL052,Public product-development sampling production and inspection workflow,Milestone reporting may be repeated across active buyer orders,Which production milestone creates the most follow-up work for your team?,Production milestone and buyer-update dashboard,Buyer order; sampling; production; inspection; dispatch; status export,7 days,12000-18000,30000-50000,2000/month,Career Pipeline Dashboard,Must confirm current reporting method
SL053,Public OEM sampling private-label production and shipping services,Sample approvals may be fragmented across email and messaging,How do customers and teams currently confirm sample approvals?,Sample-approval and order-stage tracker,Sample record; approval status; comments; production milestone; shipping status,8 days,15000-22000,35000-60000,2500/month,Printing Press ERP approval workflow,Must confirm approval channels and access rules
SL054,Official site lists multiple factories,Order visibility may be split between factory locations,How is one customer order tracked when work crosses factory locations?,Multi-factory order-status dashboard,Order; assigned factory; stage; due date; delay flag; management summary,8 days,15000-22000,40000-65000,2500/month,Printing Press ERP,Multi-factory scope may exceed pilot
SL055,Public short-run cylinder-less pouch and roll printing offer,Custom short-run quotes may repeat calculations by size material and quantity,Which variables take the most time when preparing a short-run packaging quote?,Flexible-packaging quotation calculator,Dimensions; material; quantity; wastage; margin; PDF quote,5 days,10000-15000,25000-40000,1500/month,Timber and curtain calculator,Formula and pricing inputs require discovery
SL056,Large pump and machinery catalog,Company contact route could not be verified,Which enquiry categories are currently handled manually?,Product enquiry tracker,Product category enquiry form; status; notes; follow-up queue,4 days,5000-10000,15000-25000,1000/month,Career Pipeline Dashboard,Do not pitch until contact path is verified
SL057,Multiple pump product categories and official contact form,Product enquiries may need routing by pump type dealer location and quote stage,How do enquiries move from product selection to quote and dispatch?,Pump enquiry and quote tracker,Enquiry capture; product category; quote status; follow-up date; PDF summary,6 days,10000-15000,25000-35000,1500/month,Dashboard and calculator projects,Must confirm they do not already have a CRM for this
SL058,Manufacturing excellence and multiple automotive solution verticals,Vendor or supplier enquiries may require structured intake but access may be difficult,Which department handles small software or vendor workflow suggestions?,Supplier enquiry dashboard,Contact intake; department tag; status; attachment notes; follow-up queue,7 days,15000-25000,30000-50000,2500/month,Career Pipeline Dashboard,Large-company access and procurement process risk
