period,priority,action,deliverable,success_measure,track_a_link,dependency,risk_control,last_verified
"2026 Jul-Sep","Academic baseline","Collect transcripts grading scale syllabus and medium-of-instruction evidence; map statistics linear algebra programming and business credits","Academic evidence folder and prerequisite matrix","100% of current modules mapped to likely analytics/tech-management prerequisites","Turns existing skills into verifiable academic fit","University documents","Do not assume a 3-year Indian degree or MOI letter is accepted; verify per school","2026-07-12"
"2026 Jul-Dec","Quant foundation","Strengthen probability statistics linear algebra SQL and data visualization using assessed coursework or reputable certificates","One reproducible analytics project with code data dictionary and report","Can explain model assumptions validation limits and business decision impact","Adds analytics depth to software portfolio","Consistent weekly study","Prefer graded/assessed evidence over certificate collecting","2026-07-12"
"2026 Aug-Dec","Measured product impact","Choose one ERP/dashboard/automation tool and obtain responsible real-user feedback","Case study with baseline intervention outcome and testimonial where permitted","At least one defensible metric such as time saved error reduction users or revenue","Track A projects become admissions evidence","User access and consent","Do not fabricate users revenue or impact; anonymize private data","2026-07-12"
"2026 Oct-2027 Mar","Recommendations","Build sustained academic relationship with quantitative faculty and one project/work supervisor","Two future recommender relationships with evidence packets","Each recommender has observed work over multiple months","Track A supervisor can validate execution and teamwork","Consistent performance","Never ghostwrite confidential recommendation content; provide factual evidence only","2026-07-12"
"2027 Jan-Jun","External validation","Secure substantive internship startup engagement research assistantship or paid client project","Role with defined scope manager and outcome","12+ weeks or equivalent sustained delivery with reviewable result","Core Track A employment/client pipeline","Opportunity availability","Depth and supervision matter more than brand name","2026-07-12"
"2027 Jan-Jun","Leadership","Lead a small team workshop campus initiative or community tech project","Leadership artifact with goals roles decisions conflict and outcomes","One completed initiative and independent validator","Demonstrates management potential beyond solo coding","Team access","Measure service/outcome; avoid title-only leadership","2026-07-12"
"2027 Apr-Jun","Country and test gate","Reduce research universe to 3-4 countries and decide GRE vs GMAT","Decision memo and no more than one active admissions test","At least 80% of likely programs accept chosen test or are test-optional","Track A progress determines competitiveness","Updated official admissions pages","No dual GRE/GMAT preparation","2026-07-12"
"2027 Aug-Oct","Admissions score","Take chosen admissions test if it adds value","Official GRE or GMAT score","Meet target band or document rational no-score strategy","Quant score supports CS-AI/analytics narrative","Prepared diagnostic results","Retake only after section-level improvement evidence","2026-07-12"
"2027 Jul-Dec","Funding ceiling","Hold family financial review and research loans/scholarships","Written maximum self-funding loan ceiling and emergency reserve","Every prospective country assigned affordable conditional or unaffordable","Track A earnings can cover exams/application costs","Family inputs and lender terms","Use conservative India-return salary; do not count part-time work","2026-07-12"
"2028 Jan-Mar","Final shortlist","Audit 10-12 programs line by line for degree equivalence prerequisites tests funding and graduation timing","Final application matrix across four risk bands","At least 2 financially safe eligible backups and no prerequisite guesses","Best Track A outcomes drive program/essay fit","2028 official pages","Remove any school that will not confirm documented eligibility from published rules","2026-07-12"
"2028 Apr-Jun","English and application assets","Take IELTS Academic; draft CV evidence inventory and recommender packets","Valid English score and factual application source pack","Target score met with one retake window remaining","Portfolio metrics supply essays and CV bullets","Final program English policies","Do not use generic or AI-fabricated personal stories","2026-07-12"
"2028 Jul-2029 Mar","Applications","Apply in verified rounds with scholarship timing; keep India job path active","8-12 complete applications only after final eligibility/funding gate","Balanced submissions and zero missed scholarship dependencies","Track A continues income experience and fallback","Graduation documents and official deadlines","No deposit until total cost refund visa and funding recheck","2026-07-12"
"2029 fallback","Profile upgrade","If funding or readiness is weak work 12-24 months in software product analytics or startup operations and reapply","Stronger outcomes leadership savings and recommendations","Material improvement in at least three weak dimensions","Track A becomes full-time career capital","Job execution","Treat delay as risk reduction and MBA-option building","2026-07-12"
