lead_id,observed_signal,hypothesis,discovery_question,proposed_solution,mvp_features,build_time,pilot_price,full_project_price,maintenance,proof,risk
SL001,Custom packaging quote workflow,Quoting and job-stage visibility may require repeated manual updates,How do you move an accepted quote into production today?,Quotation and production tracker,Quote builder; job stages; PDF; status summary,7 days,15000,35000,2500/month,Printing Press ERP,Must confirm current workflow
SL002,Many print product categories,Enquiries may be hard to prioritize and track,How are enquiries assigned and followed until delivery?,Enquiry and order dashboard,Lead list; quote status; job status; follow-up date,6 days,12000,30000,2000/month,Printing Press ERP,Must confirm enquiry volume
SL003,High custom packaging volume,Quote revisions may be difficult to compare,How are packaging quote revisions approved and tracked?,Quote-to-production tracker,Revision history; approval; stage board; PDF,8 days,20000,45000,3000/month,Printing Press ERP,Enterprise expectations may increase scope
SL004,Bulk and print-on-demand work,Scheduling may need shared visibility,How do teams see which jobs are due next?,Production schedule dashboard,Job queue; due dates; owner; delay flag,7 days,18000,40000,2500/month,Printing Press ERP,Contact must be verified
SL005,Wide custom printing catalogue,Estimating may be repeated across product types,Which estimate takes the most time to prepare?,Estimate and job-card tool,Reusable calculator; PDF quote; job card,5 days,10000,25000,1500/month,Calculator and Printing ERP,Must validate rate rules
SL009,Corrugated box manufacturing,Size and material calculations may repeat,How are box dimensions converted into quotes?,Box quotation calculator,Dimensions; material; wastage; margin; PDF,5 days,12000,30000,2000/month,Timber and curtain calculator,Domain formula discovery required
SL011,Large exporter member network,Members may benefit from practical student-built workflow pilots,Which member companies currently ask for digital workflow support?,Member referral pilot,One-page pilot offer; referral tracker; demo,3 days,5000,15000,0,Dashboard and ERP,Association may not buy directly
SL023,Multi-unit apparel park,Units may share production reporting problems,Can you introduce one unit struggling with daily order status reporting?,Apparel order dashboard,Order list; stage; due date; delay; export,7 days,15000,40000,2500/month,Career dashboard and ERP,Need warm introduction
SL024,MSME manufacturing network,Members may repeat quotation and service tasks,Which member firms still prepare quotes or service reports manually?,Quotation/report pilot,Quote form; PDF; follow-up; summary,5 days,10000,25000,1500/month,Rental report and ERP,Association route only
SL031,Incubated startup network,Some founders may need scoped build help,Which startup has a dashboard or automation task suitable for a one-week trial?,Startup trial sprint,One agreed workflow; demo; handoff notes,5 days,5000,20000,0,Career dashboard and GitHub,No current vacancy guaranteed
SL032,Campus technology ecosystem,Resident teams may need flexible student support,Who handles startup and student project introductions?,Flexible project internship,Scoped dashboard or automation task,7 days,5000,20000,0,Portfolio proof,Requires named introduction
SL033,State startup network,Program participants may need MVP support,Which current programme exposes founders seeking technical contributors?,Founder matching request,Trial MVP screen or internal tracker,7 days,8000,25000,0,React dashboard proof,Broad ecosystem not direct buyer
SL038,MSME association network,Members may need stock and quote tools,Can you connect me to one member with a repeated Excel or paper workflow?,MSME workflow pilot,Simple tracker; report; training,7 days,10000,25000,1500/month,ERP and automation,Contact route must be verified
SL043,Technology incubator,Portfolio startups may need intern contributors,Which incubated team needs a small React or Python task?,Incubator trial sprint,One feature; tests; documentation,7 days,5000,20000,0,GitHub project proof,Programme availability changes
SL044,Accelerator programmes,Early teams may need operations dashboards,Which portfolio team has an unowned internal-tool problem?,Founder operations dashboard,Lead/task/status dashboard; export,7 days,10000,30000,2000/month,Career Pipeline Dashboard,Need portfolio company match
